,LSOA11CD,name,total,geometry,id,lon,lat
100,E01000104,Barking and Dagenham 014B,2015,POINT (0.167649303144305 51.538865193630144),100,0.167649303144305,51.538865193630144
101,E01000105,Barking and Dagenham 014C,2330,POINT (0.153510778276315 51.5398124200005),101,0.15351077827631496,51.5398124200005
102,E01000106,Barking and Dagenham 014D,2184,POINT (0.1593809088485566 51.540112432596196),102,0.15938090884855655,51.540112432596196
103,E01000107,Barking and Dagenham 010C,1777,POINT (0.1754789318305351 51.542459168644825),103,0.1754789318305351,51.542459168644825
104,E01000108,Barking and Dagenham 010D,1909,POINT (0.167025454837271 51.54284090186577),104,0.16702545483727105,51.54284090186577
105,E01000109,Barking and Dagenham 004D,2864,POINT (0.1408628969454676 51.56420177389341),105,0.14086289694546764,51.56420177389341
106,E01000110,Barking and Dagenham 002C,1485,POINT (0.1461943020791152 51.57320268672982),106,0.1461943020791152,51.57320268672982
107,E01000111,Barking and Dagenham 002D,2058,POINT (0.1447037933527518 51.569008342681954),107,0.1447037933527518,51.569008342681954
108,E01000112,Barking and Dagenham 002E,2132,POINT (0.1373263008296025 51.56936631056364),108,0.1373263008296025,51.56936631056364
109,E01000113,Barking and Dagenham 002F,1834,POINT (0.1335968188112254 51.56979875465249),109,0.13359681881122537,51.56979875465249
110,E01000114,Barking and Dagenham 004E,2493,POINT (0.1486056702772171 51.5644066613248),110,0.1486056702772171,51.5644066613248
111,E01000115,Barnet 009A,1319,POINT (-0.1414352738375951 51.63614832807702),111,-0.1414352738375951,51.63614832807702
112,E01000116,Barnet 009B,1722,POINT (-0.1466624776287419 51.63365759302297),112,-0.14666247762874188,51.63365759302297
113,E01000117,Barnet 010A,1791,POINT (-0.1569058263613093 51.63300834695378),113,-0.1569058263613093,51.63300834695378
114,E01000118,Barnet 010B,2169,POINT (-0.151606888904961 51.630660783078596),114,-0.15160688890496096,51.630660783078596
115,E01000119,Barnet 009C,1756,POINT (-0.1356220606827035 51.629781283892264),115,-0.13562206068270347,51.629781283892264
116,E01000120,Barnet 009D,1466,POINT (-0.1406229139979168 51.632003571516954),116,-0.14062291399791685,51.632003571516954
117,E01000121,Barnet 010C,1463,POINT (-0.1479414068803808 51.62707856377771),117,-0.14794140688038085,51.62707856377771
118,E01000122,Barnet 009E,1439,POINT (-0.1374689724718 51.6258779118704),118,-0.1374689724718,51.6258779118704
119,E01000123,Barnet 010D,1780,POINT (-0.1448593472834155 51.62293873189821),119,-0.14485934728341548,51.62293873189821
120,E01000124,Barnet 010E,1783,POINT (-0.1447415336880236 51.618922587177174),120,-0.14474153368802362,51.618922587177174
121,E01000125,Barnet 024A,3307,POINT (-0.2691910269147626 51.60509491651663),121,-0.2691910269147626,51.60509491651663
122,E01000126,Barnet 026A,2231,POINT (-0.2515168020040852 51.60100924985328),122,-0.25151680200408516,51.60100924985328
123,E01000127,Barnet 024B,1560,POINT (-0.259793963502148 51.606140583496824),123,-0.259793963502148,51.606140583496824
124,E01000128,Barnet 024C,1985,POINT (-0.2598944505212659 51.60109028044266),124,-0.25989445052126586,51.60109028044266
125,E01000129,Barnet 024D,1867,POINT (-0.2641512459991635 51.601584501413505),125,-0.2641512459991635,51.601584501413505
126,E01000130,Barnet 021A,1804,POINT (-0.2543089007026584 51.60439275285198),126,-0.2543089007026584,51.60439275285198
127,E01000131,Barnet 024E,2057,POINT (-0.2570264807685895 51.597817466660544),127,-0.25702648076858947,51.597817466660544
128,E01000132,Barnet 021B,1581,POINT (-0.2580628879729128 51.608780462875046),128,-0.2580628879729128,51.608780462875046
129,E01000133,Barnet 021C,1673,POINT (-0.2518332575700746 51.60758645472472),129,-0.2518332575700746,51.60758645472472
130,E01000134,Barnet 024F,1743,POINT (-0.2650766761343126 51.607645346124734),130,-0.2650766761343126,51.607645346124734
131,E01000135,Barnet 038A,1750,POINT (-0.2020988756378965 51.568419791199375),131,-0.20209887563789647,51.568419791199375
132,E01000136,Barnet 038B,1649,POINT (-0.1912252111903844 51.56674669147373),132,-0.1912252111903844,51.56674669147373
133,E01000137,Barnet 041A,1689,POINT (-0.2008215268852493 51.56430232922674),133,-0.2008215268852493,51.56430232922674
134,E01000138,Barnet 040A,1590,POINT (-0.2058012180051901 51.56409330741823),134,-0.20580121800519008,51.56409330741823
135,E01000139,Barnet 041B,1632,POINT (-0.2022380943005969 51.559082737271225),135,-0.20223809430059692,51.559082737271225
136,E01000140,Barnet 041C,2169,POINT (-0.1966192773014299 51.56267296571167),136,-0.1966192773014299,51.56267296571167
137,E01000141,Barnet 039A,2258,POINT (-0.2159815666734516 51.560261804688594),137,-0.2159815666734516,51.560261804688594
138,E01000142,Barnet 040B,2689,POINT (-0.2110976355492779 51.5620231416109),138,-0.2110976355492779,51.5620231416109
